UDI,Machine_Age_Years,Operating_Hours,Days_Since_Last_Maintenance,Maintenance_Count_Last_Year,Energy_Consumption_kWh,Vibration_Level_mm_s,Humidity_Percent,Ambient_Dust_Level_ug_m3,Maintenance_Cost_USD
46,10,15311,248,5,62.54,3.54,52.7,50.1,1078.05
47,11,20630,207,7,55.06,5.05,48.2,52.4,1183.95
48,10,15227,226,8,60.96,4.76,53.7,52.8,1499.3
49,11,18142,233,8,61.77,4.23,61.2,40.4,1475.39
50,10,19080,251,8,65.39,4.29,30.0,23.3,1427.28
51,11,19481,195,7,42.58,6.69,59.7,22.0,1303.81
52,11,19439,183,7,84.98,3.95,30.0,48.2,1321.66
53,8,14444,230,7,59.37,4.44,72.7,35.5,1117.71
54,10,18824,227,6,44.72,5.11,34.3,52.0,1035.67
55,10,20435,167,6,60.95,5.22,45.4,43.7,1075.52
56,10,19050,148,6,58.76,4.72,32.0,26.0,988.83
57,10,17865,215,7,61.32,5.75,76.6,35.2,1285.83
58,13,20929,127,7,60.6,5.52,54.9,49.4,1260.14
59,10,18076,123,8,44.39,4.67,81.7,31.1,1425.18
60,13,23614,162,8,58.52,4.49,78.9,58.0,1548.0
61,9,18830,168,7,77.73,5.47,70.0,34.5,1225.98
62,11,19604,130,5,50.17,5.0,38.2,39.4,989.35
63,12,18824,165,9,55.96,4.98,57.0,31.2,1475.42
64,13,24060,164,10,52.85,5.46,71.4,62.3,1647.42
65,13,22218,138,9,58.19,5.78,59.7,44.4,1507.58
66,13,24689,211,9,58.89,5.87,50.6,48.3,1598.84
67,12,21411,161,9,62.29,5.55,59.2,37.8,1549.02
68,12,21198,178,10,57.95,4.45,60.4,40.8,1870.64
69,14,25535,95,10,48.47,6.2,37.3,50.5,1945.79
70,12,26532,92,9,83.37,7.37,48.2,47.5,1712.7
71,11,23009,147,10,45.56,5.98,62.8,46.6,1620.07
72,11,22224,185,9,57.4,5.84,65.5,50.1,1378.52
73,12,23848,97,8,59.94,7.07,57.9,49.5,1458.44
74,14,23173,129,11,58.55,7.03,50.1,52.4,1855.26
75,13,23006,86,9,62.22,5.82,52.7,40.7,1603.83
76,14,22214,99,10,72.87,5.43,45.9,46.2,1803.19
77,13,27465,124,9,55.81,5.52,53.8,36.2,1670.36
78,14,28451,101,11,63.94,8.34,65.2,44.0,1702.19
79,4,5389,326,4,62.14,0.73,84.1,31.4,769.55
80,3,3893,323,2,50.21,0.5,40.5,29.2,455.77
81,4,2653,304,4,63.62,0.84,70.2,33.3,582.64
82,2,2476,365,1,61.22,1.45,59.6,35.8,288.96
83,3,6784,365,3,52.9,1.24,35.8,15.5,454.83
84,3,4382,365,2,46.24,1.08,53.8,11.1,363.49
85,2,2228,320,1,71.14,1.2,52.8,21.9,185.28
86,5,4128,365,5,55.41,1.34,55.0,41.8,727.61
87,3,6570,362,1,60.71,1.61,67.6,37.5,114.48
88,4,5820,335,2,46.69,1.77,78.7,29.6,673.35
89,5,4580,328,2,67.88,0.85,70.5,27.7,502.85
90,5,5964,310,4,57.28,1.83,57.6,32.1,693.85
91,6,6769,331,5,46.38,1.64,58.9,41.0,1021.26
92,5,7377,365,3,41.38,1.37,79.9,23.8,391.85
93,4,6776,355,1,52.73,1.74,42.3,23.4,255.48
94,5,7045,309,3,58.52,2.58,69.9,30.8,498.36
95,3,6656,331,2,54.09,2.45,41.2,35.0,310.68
96,3,5698,279,1,67.83,2.15,36.7,32.7,243.08
97,3,7308,331,2,58.32,1.73,62.6,10.2,316.21
98,4,6514,280,3,53.99,1.57,35.1,34.7,341.98
99,6,14153,322,3,50.59,1.85,50.3,31.9,498.5
100,4,6428,365,3,65.33,2.38,71.5,33.1,427.95
101,5,7210,279,1,54.78,2.44,44.0,28.3,275.56
102,8,10716,365,6,55.97,2.15,76.6,40.0,944.64
103,6,9629,307,3,54.01,2.96,30.0,32.4,582.22
104,7,8656,267,5,63.37,2.77,67.5,29.6,865.31
105,5,9412,262,4,52.62,1.32,38.4,23.9,464.55
106,6,7402,354,4,56.68,2.75,52.7,30.5,612.7
107,5,9393,296,2,62.12,3.13,57.6,19.6,461.64
108,6,8413,262,3,68.53,2.9,51.6,28.5,588.9
109,8,12403,269,4,60.96,3.17,51.9,33.4,624.23
110,4,9307,282,3,55.17,2.87,37.6,36.3,600.5
111,8,16746,266,6,48.09,3.02,72.0,41.3,1100.7
112,8,11763,275,5,61.14,3.08,40.2,52.1,1152.97
113,7,12180,311,4,55.67,3.32,40.2,20.6,936.34
114,5,9054,221,4,65.62,3.01,53.8,27.9,594.7
115,8,12570,270,5,51.12,3.92,46.6,45.9,907.25
116,7,11693,246,4,51.72,4.14,65.1,36.2,763.17
117,8,15291,231,5,58.57,3.21,48.6,34.3,1047.53
118,8,13413,276,6,57.84,2.94,55.0,28.5,1011.42
119,11,21209,198,6,51.11,2.9,56.4,47.6,1294.58
120,8,14994,167,5,54.69,3.85,66.7,37.5,948.37
121,7,11745,242,6,55.92,3.99,48.7,31.3,920.16
122,9,15200,229,6,56.52,3.95,34.9,46.1,962.09
123,9,14637,190,7,66.27,4.05,45.3,55.9,1301.75
124,11,19530,177,8,53.03,3.57,68.6,34.9,1496.77
125,10,14762,284,5,54.49,2.9,59.2,44.7,1109.38
126,9,14099,237,6,52.74,3.7,50.6,39.1,821.86
127,11,17713,222,6,80.82,4.83,55.7,47.2,1146.99
128,7,14914,284,4,66.55,4.18,51.8,44.6,885.34
129,8,17030,247,5,54.93,4.31,64.5,47.4,776.95
130,8,17341,267,5,45.8,4.6,59.0,32.0,976.85
131,9,17355,176,6,54.98,3.78,51.7,24.7,1024.64
132,7,14126,172,5,57.89,4.36,66.0,33.3,785.87
133,11,20332,225,7,61.97,4.56,69.1,41.3,1207.3
134,9,15158,215,9,69.08,3.91,44.0,16.0,1598.0
135,8,13043,237,4,65.09,4.63,44.2,44.1,889.56
136,8,16555,148,7,53.74,5.15,83.8,31.8,1148.26
137,11,18126,215,7,54.83,4.37,62.5,41.6,1500.08
138,12,20962,217,7,73.9,3.84,75.0,39.4,1140.84
139,13,22529,213,6,60.42,4.84,65.7,44.3,1176.02
140,15,25347,167,10,59.37,4.55,60.5,60.2,1959.99
141,11,21672,192,6,66.47,5.02,30.0,42.7,1142.02
142,9,19203,151,7,55.51,4.55,40.3,55.0,1179.26
143,8,17138,163,8,52.59,5.06,62.8,41.0,1267.89
144,12,21117,137,7,57.21,5.71,44.1,49.6,1274.23
145,10,19767,139,8,62.14,5.21,53.2,38.4,1452.85
146,11,20046,151,8,57.37,4.48,65.9,41.5,1317.43
147,11,20735,141,6,55.67,5.54,56.6,50.3,1428.88
148,12,26382,127,7,63.26,5.48,59.8,53.5,1178.55
149,14,25218,109,9,69.74,5.63,71.7,50.1,1809.19
150,12,23355,203,9,60.63,6.09,72.8,48.5,1642.54
151,12,21712,127,7,48.93,5.39,54.3,42.9,1251.76
152,11,23190,149,8,50.03,5.56,70.3,43.8,1425.71
153,10,21735,83,8,69.09,5.26,43.5,40.7,1444.47
154,12,24281,173,9,52.46,5.95,57.7,44.3,1622.61
155,13,24742,135,9,55.93,5.98,61.8,54.0,1409.86
156,15,28461,114,10,43.47,5.82,53.7,49.6,1838.63
157,13,26643,108,10,60.64,6.45,52.3,41.0,1581.17
158,15,27695,144,11,67.28,5.63,41.6,47.8,2024.82
159,13,24923,23,10,65.98,6.34,54.6,43.7,1826.99
160,12,25372,83,9,68.35,6.65,35.7,47.5,1423.07
161,12,22764,102,9,76.62,8.13,53.4,39.5,1362.37
162,13,24333,99,9,71.38,7.76,55.7,55.0,1569.51
163,6,7120,365,2,55.39,0.5,63.9,29.8,455.87
164,2,500,352,2,55.42,1.13,40.9,36.6,320.78
165,5,7466,365,1,53.74,1.97,59.1,30.2,362.12
166,2,1316,365,1,55.97,0.9,61.8,28.2,184.51
167,5,5743,365,3,53.36,1.48,54.7,37.9,570.38
168,4,5155,327,3,62.87,0.5,60.4,37.8,436.65
169,4,5759,302,3,78.62,3.69,58.2,33.0,417.25
170,4,5275,361,4,74.27,1.01,30.0,49.0,700.36
171,3,4579,365,2,57.37,1.4,43.9,26.0,411.98
172,5,7126,349,2,71.14,1.71,80.7,17.9,404.22
173,4,5434,365,2,43.74,0.89,62.9,27.7,294.72
174,3,3880,365,2,60.11,3.37,47.8,32.4,515.23
175,3,6797,348,2,68.37,1.57,59.4,29.6,531.06
176,5,4508,288,2,61.08,2.23,63.5,21.9,553.93
177,7,9846,320,4,49.59,2.72,73.5,31.3,823.3
178,5,7142,357,5,48.25,2.17,50.3,23.5,691.03
179,5,8563,306,3,63.42,1.46,47.8,24.7,688.11
180,6,7044,356,3,64.5,2.18,49.0,31.3,657.87
181,7,9765,307,4,70.71,1.26,48.1,37.7,657.56
182,6,9251,316,1,49.52,2.06,47.7,26.2,430.55
183,5,10035,290,3,73.22,3.19,57.2,24.9,508.95
184,8,12663,301,6,62.88,1.72,49.9,41.7,1122.9
185,7,9280,301,3,51.4,2.06,54.3,27.1,754.44
186,8,11614,244,3,55.64,3.45,77.5,28.8,731.99
187,6,11364,276,3,71.8,2.49,43.5,49.6,516.51
188,4,5924,250,4,63.0,2.18,59.0,23.8,701.79
189,4,7697,272,5,48.16,2.87,41.4,13.4,816.15
190,9,13891,258,6,65.33,2.49,66.1,28.1,1009.86
191,9,13461,309,4,61.02,1.44,68.4,22.1,805.9
192,6,14574,307,4,58.83,2.17,44.6,45.2,910.5
193,6,10001,291,6,73.09,3.93,46.6,31.4,1125.63
194,9,15120,230,5,57.81,3.19,63.0,29.7,905.25
195,6,9921,259,4,38.17,5.88,51.7,36.5,517.84
196,6,11997,218,4,51.49,2.71,72.0,45.7,868.24
197,9,16201,251,4,68.84,3.25,40.6,36.6,1052.01
198,7,11838,269,6,47.45,3.32,67.9,47.1,1157.37
199,8,13973,276,6,58.37,3.2,81.9,33.3,1004.53
200,8,12802,258,3,68.81,3.63,59.7,26.6,747.07
201,9,13718,279,4,61.31,3.02,47.4,52.5,747.53
202,10,18280,247,5,59.5,4.23,45.7,34.2,1108.11
203,8,13584,230,6,58.86,3.91,53.1,31.5,981.77
204,9,12130,259,5,57.5,3.66,63.1,46.3,896.48
205,6,14888,258,5,48.27,3.87,37.1,32.3,831.46
206,9,14727,212,6,71.59,3.7,51.3,37.1,1023.98
207,8,14495,236,6,62.86,3.06,56.6,34.0,1113.49
208,7,16216,213,5,79.39,5.48,73.6,28.7,794.59
209,8,14877,158,6,54.38,3.96,77.3,37.4,1298.74
210,9,16135,229,6,65.45,3.92,53.4,41.9,1135.05
211,11,17028,175,7,61.82,4.47,41.7,40.2,1245.02
212,7,11708,221,5,59.97,4.48,56.7,38.5,782.34
213,10,17600,163,6,72.9,3.97,57.1,43.3,1088.95
214,9,17419,181,6,53.24,3.9,69.2,41.1,1059.18
215,9,17423,188,8,59.22,4.8,49.7,35.7,1292.86
216,12,19978,233,7,62.72,4.59,43.1,41.0,1270.48
217,11,19620,179,9,62.15,4.24,54.9,45.0,1437.71
218,12,18124,160,7,55.98,4.03,50.9,34.4,1410.69
219,10,19260,201,8,63.75,4.31,50.6,63.2,1501.3
220,9,17702,181,8,53.95,4.9,44.6,17.9,1233.78
221,10,21755,208,7,71.46,5.62,39.9,35.5,1235.06
222,11,20096,151,7,51.67,4.72,62.3,46.1,1100.08
223,11,18896,182,7,64.57,4.53,58.2,47.8,1225.43
224,9,17924,247,6,62.21,6.08,45.4,31.2,1276.93
225,11,19998,163,8,45.69,4.86,64.8,36.8,1519.98
226,12,22432,174,8,76.39,4.7,32.9,44.4,1501.89
227,15,25510,116,9,68.29,4.95,50.1,39.1,1564.37
228,14,22470,138,11,54.64,4.97,57.6,38.4,1810.31
229,10,17196,175,7,53.28,5.89,68.3,47.0,1188.4
230,11,21379,148,7,53.03,4.49,48.3,48.5,1382.16
231,10,21950,173,8,56.3,5.67,68.5,40.1,1490.12
232,11,21284,165,9,61.62,5.42,47.2,48.2,1520.87
233,12,23675,111,10,61.07,5.2,64.9,44.7,1770.89
234,14,26464,178,11,57.14,5.36,75.2,41.8,1807.34
235,11,21835,108,8,58.75,5.45,43.0,32.7,1433.07
236,11,20303,120,8,61.61,5.67,56.8,47.0,1505.95
237,9,19553,146,5,65.81,5.47,61.5,32.6,1120.61
238,12,24761,184,7,52.16,5.72,40.1,50.5,1205.17
239,11,22680,103,8,66.46,5.44,60.2,39.6,1546.33
240,12,24297,135,7,56.57,6.97,48.2,54.4,1562.46
241,12,22571,133,7,67.9,6.43,44.9,36.3,1179.55
242,13,24296,145,9,41.76,6.24,49.9,36.9,1443.23
243,10,20912,158,8,77.46,7.83,49.0,41.6,1524.77
244,11,22303,108,8,58.29,6.51,64.6,39.2,1364.67
245,15,29022,148,11,66.12,6.3,55.0,51.2,1904.78
246,12,20284,154,9,47.69,6.28,82.7,43.4,1685.73
247,12,23986,164,10,57.9,6.03,48.6,39.9,1598.66
248,15,27511,123,12,60.88,6.49,60.7,47.9,2074.45
249,15,25663,111,12,76.05,9.24,53.2,32.5,1911.44
250,12,25218,89,9,70.58,8.49,39.7,55.9,1655.21
251,2,1313,321,1,51.95,0.87,74.1,18.9,294.69
252,4,4354,354,2,62.39,1.1,56.4,31.5,426.1
253,6,10198,362,5,51.15,1.15,45.6,15.4,850.26
254,2,4230,353,0,72.73,0.9,59.8,16.9,87.58
255,3,4867,365,3,57.75,0.85,67.4,28.0,471.89
256,5,7066,308,2,55.86,1.67,44.8,44.5,441.64
257,4,5138,344,2,74.67,1.93,55.6,31.5,496.22
258,3,7274,365,1,50.86,2.51,67.5,30.4,70.47
259,4,6768,365,1,61.32,1.65,57.0,24.0,472.47
260,2,2131,361,1,74.34,3.53,61.7,23.8,227.77
261,4,3690,350,4,65.18,2.0,51.8,26.3,874.21
262,4,6775,324,2,53.45,1.17,36.1,30.4,434.13
263,5,7131,280,4,57.87,2.0,52.0,39.8,690.04
264,4,4007,343,2,57.87,2.27,48.3,25.1,471.63
265,5,8128,252,2,71.55,2.34,53.7,30.1,324.04
266,6,8371,313,4,55.36,2.71,48.4,28.8,622.16
267,5,8461,320,4,68.09,1.63,57.0,27.8,668.88
268,6,9753,301,4,54.64,1.8,50.8,41.0,736.49
269,5,7068,365,3,52.8,1.99,64.7,33.5,672.09
270,5,9154,361,5,60.04,1.67,62.4,32.5,816.69
271,4,6348,335,3,55.47,2.54,43.9,26.9,674.13
272,6,9071,270,3,67.64,2.74,70.1,25.0,341.25
273,6,9057,352,3,57.39,2.76,46.3,37.5,789.67
274,9,15241,310,7,65.59,2.6,41.5,44.6,1167.86
275,9,13214,261,5,53.81,3.08,67.7,45.0,1037.17
276,7,13384,288,4,63.39,2.91,47.9,33.8,888.86
277,5,11690,313,4,49.93,2.37,56.2,23.7,557.28
278,5,8042,263,5,68.83,1.28,39.5,35.1,953.39
279,9,9794,279,6,50.19,2.71,50.6,46.6,1164.23
280,7,13477,281,4,48.15,2.97,53.6,40.6,946.34
281,8,12687,236,5,68.63,3.02,50.3,29.7,936.56
282,5,8436,257,3,53.1,2.99,48.8,33.0,568.53
283,9,13742,232,5,59.33,2.86,55.5,22.4,894.7
284,8,12938,285,5,57.8,2.78,66.9,46.7,858.38
285,6,13196,230,5,51.77,2.73,43.7,33.3,842.41
286,7,12780,263,5,60.13,3.52,30.0,35.5,947.22
287,8,15755,210,7,56.75,3.89,69.9,48.3,1243.95
288,8,14661,216,5,60.07,2.77,47.1,31.3,827.79
289,7,12346,212,4,60.04,3.42,48.1,34.9,758.67
290,8,13649,233,7,60.98,3.97,48.5,29.1,1191.35
291,8,15167,244,5,57.88,3.53,39.1,24.0,713.35
292,9,16846,248,6,54.12,4.03,50.3,40.2,1174.71
293,11,19600,181,7,55.07,4.26,51.6,43.9,1262.55
294,5,10603,227,5,65.14,3.97,60.2,13.0,809.79
295,8,15083,203,6,67.75,3.65,48.4,41.8,1193.97
296,9,17031,238,7,53.48,4.63,30.0,37.7,1108.77
297,10,16914,211,6,57.23,3.92,39.0,46.0,1041.15
298,9,14678,214,7,61.36,3.97,68.4,39.9,979.27
299,7,12861,191,5,44.64,4.41,44.9,42.4,880.29
300,10,17533,260,8,56.15,4.12,61.5,49.3,1476.65
301,12,21423,166,9,63.82,4.24,46.4,45.6,1356.15
302,7,16408,190,4,50.7,4.21,64.8,41.4,663.5
303,11,17376,203,7,50.24,4.36,56.2,49.1,1303.23
304,10,17539,186,8,65.38,4.67,37.6,30.5,1320.57
305,10,18033,167,8,44.11,3.66,40.9,32.9,1321.51
306,9,18652,133,8,57.93,4.65,37.1,29.9,1342.07
307,10,17958,164,7,64.41,3.87,65.9,45.3,1430.35
308,13,21795,154,10,55.36,4.6,39.9,40.3,1730.85
309,12,19257,229,7,54.97,5.04,50.6,27.7,1350.73
310,13,23390,245,7,52.7,4.76,54.0,37.9,1414.89
311,13,22558,171,8,60.25,5.35,57.7,42.9,1291.92
312,12,20844,125,9,70.95,5.3,49.5,47.7,1599.18
313,14,23971,186,8,55.58,4.12,36.1,58.3,1372.54
314,12,23740,132,7,67.15,5.85,40.5,51.6,1329.47
315,13,21833,142,7,69.13,5.42,42.4,47.4,1476.13
316,11,19813,136,8,73.05,5.09,30.0,35.4,1365.01
317,12,24243,138,7,53.38,5.19,60.2,28.0,1434.1
318,11,21369,140,8,58.66,4.43,61.1,38.1,1233.99
319,14,25950,108,9,56.6,5.63,42.1,45.7,1674.35
320,10,20838,124,7,49.55,5.9,70.7,40.8,1275.93
321,13,23872,174,8,57.23,5.28,53.7,53.2,1217.01
322,12,22428,136,9,51.6,5.3,65.2,49.4,1617.93
323,14,26687,138,9,60.53,5.87,64.3,48.7,1347.97
324,14,27274,65,9,53.47,6.45,53.4,44.8,1663.51
325,15,28446,158,10,60.77,6.45,30.6,37.8,1850.98
326,14,23977,106,10,47.51,6.39,57.4,41.6,1723.61
327,11,24202,158,9,56.16,7.04,61.3,34.3,1542.95
328,13,24198,126,9,65.15,8.54,47.2,66.7,1832.66
329,11,21292,102,7,51.98,6.7,56.9,58.0,1231.34
330,13,24796,63,10,50.13,6.29,54.7,35.9,1609.08
331,15,28922,172,11,56.55,6.2,43.6,53.1,2130.26
332,15,28621,127,10,59.38,7.02,53.8,39.2,1825.27
333,2,2017,365,1,59.74,0.51,48.9,25.8,321.45
334,2,3791,365,4,48.92,1.29,59.5,20.1,401.36
335,3,4035,365,0,54.18,0.82,47.9,24.9,50.0
336,2,1901,365,2,46.8,1.37,46.5,32.4,236.64
337,2,1788,339,2,44.5,1.38,35.3,27.0,305.52
338,4,6000,365,2,51.27,1.41,81.5,35.0,350.87
339,5,6551,328,3,55.02,1.37,49.6,34.0,510.68
340,5,4702,329,2,47.43,1.69,41.4,24.1,255.74
341,1,3371,344,1,53.13,1.85,62.2,11.5,184.92
342,5,6270,301,4,43.66,0.85,57.2,27.6,656.54
343,4,8313,345,2,69.6,1.6,61.6,25.6,182.5
344,5,5111,323,6,71.05,1.47,62.8,25.8,891.59
345,7,9434,271,3,56.23,1.82,68.2,28.4,629.16
346,2,2790,313,3,50.44,1.59,42.2,24.5,548.4
347,4,4867,314,3,69.05,2.49,56.8,38.6,468.65
348,6,8135,346,4,61.91,1.89,36.1,15.2,819.57
349,3,8011,327,3,48.67,2.47,51.3,16.1,568.35
350,7,10460,359,2,51.65,1.55,63.0,36.1,439.94
351,6,7947,329,4,60.01,1.93,44.3,17.1,789.61
352,7,7817,291,3,52.58,1.89,81.8,22.5,756.4
353,5,5713,302,3,65.82,2.47,55.2,46.9,671.38
354,7,10025,290,4,52.1,1.76,33.3,38.5,797.02
355,8,11304,309,4,54.0,1.62,63.5,57.4,790.94
356,6,9609,294,2,64.32,2.21,81.6,18.3,344.83
357,7,7827,271,5,64.41,2.86,30.0,50.7,1000.06
358,7,11232,286,4,52.68,2.25,63.6,23.5,614.96
359,5,10602,297,3,53.95,2.83,43.1,37.2,544.61
360,6,12829,250,5,54.08,2.45,54.4,14.6,949.62
361,6,7688,286,4,50.38,1.97,39.3,34.3,621.0
362,7,10663,225,4,52.04,3.35,65.2,36.9,760.05
363,8,11874,303,8,64.64,3.3,51.2,32.4,1122.92
364,6,11199,280,5,56.34,3.08,68.9,20.9,804.33
365,7,10440,311,7,72.14,3.17,42.6,31.8,1020.69
366,10,18483,226,6,73.76,3.1,52.5,41.9,1041.84
367,6,11315,291,4,65.15,2.73,30.0,22.8,777.68
368,6,11200,281,3,59.84,3.98,86.2,30.3,666.6
369,8,16309,244,5,67.34,3.35,78.0,35.5,863.15
370,9,15186,236,5,57.49,3.63,81.2,41.6,988.05
371,8,14835,209,8,64.55,3.33,73.4,23.3,1234.69
372,10,15644,197,6,63.55,3.87,47.9,35.2,1085.24
373,10,14804,213,6,75.31,4.27,54.5,41.4,1005.13
374,10,16079,194,5,59.1,3.86,58.5,36.8,948.58
375,9,19165,277,6,62.15,4.01,59.5,29.2,883.64
376,12,20525,182,7,54.81,4.31,41.9,51.5,1531.37
377,9,16477,229,7,68.52,4.28,41.3,45.8,1320.95
378,6,11135,234,3,70.94,4.52,39.0,38.0,845.72
379,12,21302,228,7,42.38,4.24,49.9,41.1,1433.98
380,9,14388,228,4,49.71,4.29,51.2,36.4,871.68
381,10,15364,241,6,54.43,6.29,49.6,50.0,902.23
382,11,18167,197,7,52.8,4.66,58.0,48.4,1384.91
383,7,17227,210,5,58.29,4.06,38.4,44.1,1016.03
384,8,18432,197,5,57.71,4.59,44.7,36.7,807.45
385,7,13843,241,6,56.52,5.55,45.9,38.9,1057.23
386,9,15999,262,8,58.97,4.63,64.8,43.3,1336.63
387,11,17084,160,8,66.46,3.93,57.4,53.5,1394.37
388,11,19752,132,6,72.7,4.43,59.1,23.8,1216.39
389,11,19968,208,7,71.09,4.94,43.8,43.0,1328.1
390,8,17399,221,5,67.77,4.34,55.5,43.6,821.91
391,7,16516,244,6,62.04,4.26,45.7,43.4,1098.36
392,11,19744,205,8,63.36,4.11,46.1,38.4,1255.48
393,10,19764,222,5,56.39,4.75,59.4,43.1,1050.08
394,12,20414,226,9,64.74,5.73,47.2,49.9,1590.82
395,12,22406,217,9,59.49,4.73,53.7,54.0,1486.13
396,11,19729,197,9,65.11,5.49,51.8,44.8,1646.09
397,12,22469,130,8,54.72,4.96,40.9,46.1,1252.0
398,12,22438,166,8,49.07,4.96,48.1,41.8,1468.17
399,12,22108,171,7,64.73,5.48,48.3,53.0,1340.75
400,11,22222,153,8,69.34,4.58,50.4,51.9,1559.35
401,12,19964,153,9,47.77,6.23,33.4,52.3,1626.94
402,12,20813,198,8,52.61,5.72,46.2,49.9,1218.67
403,13,23295,126,9,54.89,6.03,65.9,48.0,1554.47
404,12,20425,171,8,65.38,5.42,60.2,39.3,1602.52
405,13,23270,154,8,61.27,5.85,50.2,40.1,1464.63
406,12,22208,116,10,79.5,6.12,40.8,52.2,1569.09
407,12,24825,107,8,61.69,5.65,56.2,53.1,1434.97
408,14,25564,86,10,57.97,5.31,66.6,50.0,1927.8
409,10,22229,148,6,59.49,5.35,73.2,42.0,1035.2
410,11,22473,128,8,57.39,5.69,48.7,43.7,1295.21
411,11,21306,103,7,71.7,6.06,42.3,51.6,1257.23
412,10,21246,68,8,56.65,5.94,60.8,46.1,1295.08
413,12,24629,134,7,58.54,5.83,59.3,40.6,1393.72
414,14,27815,114,10,58.5,6.46,55.1,52.1,1724.77
415,13,24717,95,7,49.84,5.94,47.4,33.3,1395.17
416,14,23734,85,10,65.12,5.93,39.3,43.1,1922.94
417,15,24918,105,10,55.46,6.74,63.1,36.0,1705.18
418,15,27095,123,11,68.3,6.6,65.8,43.1,2023.69
419,3,500,355,1,40.36,0.5,50.7,19.9,330.52
420,5,8783,327,2,59.17,0.5,75.5,13.3,315.87
421,3,4720,357,1,56.24,0.57,57.8,35.4,377.68
422,2,1806,365,1,51.57,1.18,52.9,19.9,77.0
423,3,2431,353,2,63.51,1.86,40.8,23.4,214.41
424,1,3327,351,1,62.85,2.05,34.6,15.1,75.95
425,2,1405,337,0,66.2,1.75,48.9,28.5,50.0
426,3,2838,318,4,48.33,2.38,59.4,37.0,565.38
427,5,5751,313,3,60.37,1.6,83.0,34.2,449.17
428,7,9561,289,3,64.39,2.1,55.8,36.8,696.88
429,2,4456,365,2,65.69,1.34,62.1,8.2,307.01
430,5,9049,345,3,78.89,0.92,45.1,29.2,578.4
431,3,6517,331,2,58.48,1.6,57.5,31.2,427.84
432,5,7441,335,3,58.18,1.74,55.9,39.6,712.37
433,5,9061,334,4,57.58,3.14,43.7,34.9,636.62
434,2,3059,299,3,42.42,1.92,71.1,40.7,378.54
435,6,6269,307,1,61.72,1.49,53.4,26.2,440.01
436,4,5728,299,4,65.07,2.56,68.3,22.2,765.48
