UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Machine_Age_Years,Operating_Hours,Days_Since_Last_Maintenance,Maintenance_Count_Last_Year,Energy_Consumption_kWh,Vibration_Level_mm_s,Humidity_Percent,Ambient_Dust_Level_ug_m3,Maintenance_Cost_USD
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,5,9462,294,1,61.5,2.48,64.0,14.9,542.37
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,8,12512,365,5,57.15,3.14,57.4,37.6,898.4
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,6,9441,269,4,47.54,1.56,41.8,39.1,652.61
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,6,12223,293,4,46.38,2.93,54.3,39.3,705.11
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,6,9676,254,6,50.61,3.22,45.4,34.8,1052.62
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,8,12537,309,7,52.39,2.15,72.3,45.6,1034.62
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,7,9478,289,4,49.93,2.18,49.3,32.5,760.41
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,8,12220,241,5,49.94,3.55,45.6,33.0,923.88
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,8,14154,258,5,51.11,3.69,52.4,35.6,1052.87
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,11,17551,306,6,66.98,3.83,45.6,44.4,1106.26
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,7,13304,299,4,52.82,2.88,57.8,65.1,745.31
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,7,13321,216,5,63.5,3.38,76.9,32.4,932.27
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,6,14517,242,6,53.97,3.49,55.1,33.4,898.5
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,9,13953,309,7,52.13,2.52,43.9,51.9,1120.34
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,10,13981,245,7,64.03,3.53,53.1,44.4,1427.26
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,8,12569,252,3,59.88,3.59,39.7,22.6,735.75
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,7,12025,274,3,53.12,3.97,89.5,47.8,761.55
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,7,11709,201,6,63.06,3.36,76.6,36.6,1072.63
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,10,17135,207,8,59.6,4.4,70.0,17.3,1348.28
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,10,18964,223,7,64.52,3.87,64.0,36.7,1179.45
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,10,19484,266,6,64.64,4.73,53.0,34.2,1063.54
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,8,15621,258,7,58.4,4.3,53.3,32.2,1086.54
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,9,19412,246,7,68.34,4.14,52.4,37.7,1127.01
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,9,15890,214,7,64.32,3.53,83.5,43.8,1121.99
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,10,15311,248,5,62.54,3.54,52.7,50.1,1078.05
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,11,20630,207,7,55.06,5.05,48.2,52.4,1183.95
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,10,15227,226,8,60.96,4.76,53.7,52.8,1499.3
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,11,18142,233,8,61.77,4.23,61.2,40.4,1475.39
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,10,19080,251,8,65.39,4.29,30.0,23.3,1427.28
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,11,19481,195,7,42.58,6.69,59.7,22.0,1303.81
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,11,19439,183,7,84.98,3.95,30.0,48.2,1321.66
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,8,14444,230,7,59.37,4.44,72.7,35.5,1117.71
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,10,18824,227,6,44.72,5.11,34.3,52.0,1035.67
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,10,20435,167,6,60.95,5.22,45.4,43.7,1075.52
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,10,19050,148,6,58.76,4.72,32.0,26.0,988.83
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,10,17865,215,7,61.32,5.75,76.6,35.2,1285.83
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,13,20929,127,7,60.6,5.52,54.9,49.4,1260.14
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,10,18076,123,8,44.39,4.67,81.7,31.1,1425.18
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,13,23614,162,8,58.52,4.49,78.9,58.0,1548.0
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,9,18830,168,7,77.73,5.47,70.0,34.5,1225.98
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,11,19604,130,5,50.17,5.0,38.2,39.4,989.35
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,12,18824,165,9,55.96,4.98,57.0,31.2,1475.42
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,13,24060,164,10,52.85,5.46,71.4,62.3,1647.42
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,13,22218,138,9,58.19,5.78,59.7,44.4,1507.58
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,13,24689,211,9,58.89,5.87,50.6,48.3,1598.84
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,12,21411,161,9,62.29,5.55,59.2,37.8,1549.02
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,12,21198,178,10,57.95,4.45,60.4,40.8,1870.64
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,14,25535,95,10,48.47,6.2,37.3,50.5,1945.79
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,12,26532,92,9,83.37,7.37,48.2,47.5,1712.7
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,11,23009,147,10,45.56,5.98,62.8,46.6,1620.07
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,11,22224,185,9,57.4,5.84,65.5,50.1,1378.52
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,12,23848,97,8,59.94,7.07,57.9,49.5,1458.44
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,14,23173,129,11,58.55,7.03,50.1,52.4,1855.26
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,13,23006,86,9,62.22,5.82,52.7,40.7,1603.83
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,14,22214,99,10,72.87,5.43,45.9,46.2,1803.19
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,13,27465,124,9,55.81,5.52,53.8,36.2,1670.36
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,14,28451,101,11,63.94,8.34,65.2,44.0,1702.19
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,4,5389,326,4,62.14,0.73,84.1,31.4,769.55
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,3,3893,323,2,50.21,0.5,40.5,29.2,455.77
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,4,2653,304,4,63.62,0.84,70.2,33.3,582.64
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,2,2476,365,1,61.22,1.45,59.6,35.8,288.96
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,3,6784,365,3,52.9,1.24,35.8,15.5,454.83
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,3,4382,365,2,46.24,1.08,53.8,11.1,363.49
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,2,2228,320,1,71.14,1.2,52.8,21.9,185.28
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,5,4128,365,5,55.41,1.34,55.0,41.8,727.61
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,3,6570,362,1,60.71,1.61,67.6,37.5,114.48
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,4,5820,335,2,46.69,1.77,78.7,29.6,673.35
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,5,4580,328,2,67.88,0.85,70.5,27.7,502.85
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,5,5964,310,4,57.28,1.83,57.6,32.1,693.85
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,6,6769,331,5,46.38,1.64,58.9,41.0,1021.26
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,5,7377,365,3,41.38,1.37,79.9,23.8,391.85
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,4,6776,355,1,52.73,1.74,42.3,23.4,255.48
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,5,7045,309,3,58.52,2.58,69.9,30.8,498.36
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,3,6656,331,2,54.09,2.45,41.2,35.0,310.68
96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,3,5698,279,1,67.83,2.15,36.7,32.7,243.08
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,3,7308,331,2,58.32,1.73,62.6,10.2,316.21
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,4,6514,280,3,53.99,1.57,35.1,34.7,341.98
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,6,14153,322,3,50.59,1.85,50.3,31.9,498.5
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,4,6428,365,3,65.33,2.38,71.5,33.1,427.95
101,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,5,7210,279,1,54.78,2.44,44.0,28.3,275.56
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,8,10716,365,6,55.97,2.15,76.6,40.0,944.64
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,6,9629,307,3,54.01,2.96,30.0,32.4,582.22
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,7,8656,267,5,63.37,2.77,67.5,29.6,865.31
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,5,9412,262,4,52.62,1.32,38.4,23.9,464.55
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,6,7402,354,4,56.68,2.75,52.7,30.5,612.7
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,5,9393,296,2,62.12,3.13,57.6,19.6,461.64
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,6,8413,262,3,68.53,2.9,51.6,28.5,588.9
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,8,12403,269,4,60.96,3.17,51.9,33.4,624.23
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,4,9307,282,3,55.17,2.87,37.6,36.3,600.5
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,8,16746,266,6,48.09,3.02,72.0,41.3,1100.7
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,8,11763,275,5,61.14,3.08,40.2,52.1,1152.97
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,7,12180,311,4,55.67,3.32,40.2,20.6,936.34
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,5,9054,221,4,65.62,3.01,53.8,27.9,594.7
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,8,12570,270,5,51.12,3.92,46.6,45.9,907.25
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,7,11693,246,4,51.72,4.14,65.1,36.2,763.17
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,8,15291,231,5,58.57,3.21,48.6,34.3,1047.53
118,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,8,13413,276,6,57.84,2.94,55.0,28.5,1011.42
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,11,21209,198,6,51.11,2.9,56.4,47.6,1294.58
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,8,14994,167,5,54.69,3.85,66.7,37.5,948.37
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,7,11745,242,6,55.92,3.99,48.7,31.3,920.16
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,9,15200,229,6,56.52,3.95,34.9,46.1,962.09
123,L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,9,14637,190,7,66.27,4.05,45.3,55.9,1301.75
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,11,19530,177,8,53.03,3.57,68.6,34.9,1496.77
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,10,14762,284,5,54.49,2.9,59.2,44.7,1109.38
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,9,14099,237,6,52.74,3.7,50.6,39.1,821.86
127,L47306,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,11,17713,222,6,80.82,4.83,55.7,47.2,1146.99
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,7,14914,284,4,66.55,4.18,51.8,44.6,885.34
129,L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,8,17030,247,5,54.93,4.31,64.5,47.4,776.95
130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,8,17341,267,5,45.8,4.6,59.0,32.0,976.85
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,9,17355,176,6,54.98,3.78,51.7,24.7,1024.64
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,7,14126,172,5,57.89,4.36,66.0,33.3,785.87
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,11,20332,225,7,61.97,4.56,69.1,41.3,1207.3
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,9,15158,215,9,69.08,3.91,44.0,16.0,1598.0
135,L47314,L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,8,13043,237,4,65.09,4.63,44.2,44.1,889.56
136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,8,16555,148,7,53.74,5.15,83.8,31.8,1148.26
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,11,18126,215,7,54.83,4.37,62.5,41.6,1500.08
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,12,20962,217,7,73.9,3.84,75.0,39.4,1140.84
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,13,22529,213,6,60.42,4.84,65.7,44.3,1176.02
140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,15,25347,167,10,59.37,4.55,60.5,60.2,1959.99
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,11,21672,192,6,66.47,5.02,30.0,42.7,1142.02
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,9,19203,151,7,55.51,4.55,40.3,55.0,1179.26
143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,8,17138,163,8,52.59,5.06,62.8,41.0,1267.89
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,12,21117,137,7,57.21,5.71,44.1,49.6,1274.23
145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,10,19767,139,8,62.14,5.21,53.2,38.4,1452.85
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,11,20046,151,8,57.37,4.48,65.9,41.5,1317.43
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,11,20735,141,6,55.67,5.54,56.6,50.3,1428.88
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,12,26382,127,7,63.26,5.48,59.8,53.5,1178.55
149,M15008,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,14,25218,109,9,69.74,5.63,71.7,50.1,1809.19
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,12,23355,203,9,60.63,6.09,72.8,48.5,1642.54
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,12,21712,127,7,48.93,5.39,54.3,42.9,1251.76
152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,11,23190,149,8,50.03,5.56,70.3,43.8,1425.71
153,M15012,M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,10,21735,83,8,69.09,5.26,43.5,40.7,1444.47
154,L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,12,24281,173,9,52.46,5.95,57.7,44.3,1622.61
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,13,24742,135,9,55.93,5.98,61.8,54.0,1409.86
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,15,28461,114,10,43.47,5.82,53.7,49.6,1838.63
157,M15016,M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,13,26643,108,10,60.64,6.45,52.3,41.0,1581.17
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,15,27695,144,11,67.28,5.63,41.6,47.8,2024.82
159,M15018,M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,13,24923,23,10,65.98,6.34,54.6,43.7,1826.99
160,L47339,L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,12,25372,83,9,68.35,6.65,35.7,47.5,1423.07
161,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,12,22764,102,9,76.62,8.13,53.4,39.5,1362.37
162,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,13,24333,99,9,71.38,7.76,55.7,55.0,1569.51
163,L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,6,7120,365,2,55.39,0.5,63.9,29.8,455.87
164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,2,500,352,2,55.42,1.13,40.9,36.6,320.78
165,M15024,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,5,7466,365,1,53.74,1.97,59.1,30.2,362.12
166,L47345,L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,2,1316,365,1,55.97,0.9,61.8,28.2,184.51
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,5,5743,365,3,53.36,1.48,54.7,37.9,570.38
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,4,5155,327,3,62.87,0.5,60.4,37.8,436.65
169,L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,4,5759,302,3,78.62,3.69,58.2,33.0,417.25
170,L47349,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,4,5275,361,4,74.27,1.01,30.0,49.0,700.36
171,M15030,M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,3,4579,365,2,57.37,1.4,43.9,26.0,411.98
172,L47351,L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,5,7126,349,2,71.14,1.71,80.7,17.9,404.22
173,M15032,M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,4,5434,365,2,43.74,0.89,62.9,27.7,294.72
174,M15033,M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,3,3880,365,2,60.11,3.37,47.8,32.4,515.23
175,L47354,L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,3,6797,348,2,68.37,1.57,59.4,29.6,531.06
176,L47355,L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,5,4508,288,2,61.08,2.23,63.5,21.9,553.93
177,L47356,L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,7,9846,320,4,49.59,2.72,73.5,31.3,823.3
178,L47357,L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,5,7142,357,5,48.25,2.17,50.3,23.5,691.03
179,L47358,L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,5,8563,306,3,63.42,1.46,47.8,24.7,688.11
180,L47359,L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,6,7044,356,3,64.5,2.18,49.0,31.3,657.87
181,L47360,L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,7,9765,307,4,70.71,1.26,48.1,37.7,657.56
182,H29595,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,6,9251,316,1,49.52,2.06,47.7,26.2,430.55
183,M15042,M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,5,10035,290,3,73.22,3.19,57.2,24.9,508.95
184,L47363,L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,8,12663,301,6,62.88,1.72,49.9,41.7,1122.9
185,L47364,L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,7,9280,301,3,51.4,2.06,54.3,27.1,754.44
186,L47365,L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,8,11614,244,3,55.64,3.45,77.5,28.8,731.99
187,L47366,L,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,6,11364,276,3,71.8,2.49,43.5,49.6,516.51
188,L47367,L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,4,5924,250,4,63.0,2.18,59.0,23.8,701.79
189,L47368,L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,4,7697,272,5,48.16,2.87,41.4,13.4,816.15
190,M15049,M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,9,13891,258,6,65.33,2.49,66.1,28.1,1009.86
191,L47370,L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,9,13461,309,4,61.02,1.44,68.4,22.1,805.9
192,L47371,L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,6,14574,307,4,58.83,2.17,44.6,45.2,910.5
193,H29606,H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,6,10001,291,6,73.09,3.93,46.6,31.4,1125.63
194,H29607,H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,9,15120,230,5,57.81,3.19,63.0,29.7,905.25
195,M15054,M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,6,9921,259,4,38.17,5.88,51.7,36.5,517.84
196,L47375,L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,6,11997,218,4,51.49,2.71,72.0,45.7,868.24
197,H29610,H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,9,16201,251,4,68.84,3.25,40.6,36.6,1052.01
198,M15057,M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,7,11838,269,6,47.45,3.32,67.9,47.1,1157.37
199,L47378,L,298.4,308.7,1588,35.0,99,0,0,0,0,0,0,8,13973,276,6,58.37,3.2,81.9,33.3,1004.53
200,L47379,L,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,8,12802,258,3,68.81,3.63,59.7,26.6,747.07
201,L47380,L,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,9,13718,279,4,61.31,3.02,47.4,52.5,747.53
202,L47381,L,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,10,18280,247,5,59.5,4.23,45.7,34.2,1108.11
203,M15062,M,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,8,13584,230,6,58.86,3.91,53.1,31.5,981.77
204,L47383,L,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,9,12130,259,5,57.5,3.66,63.1,46.3,896.48
